Object Group,AgentMode,CLGD_mean,CLGD_std,Chamfer Distance_mean,Chamfer Distance_std,Hausdorff Distance_mean,Hausdorff Distance_std,IoU_mean,IoU_std,IoGT_mean,IoGT_std
box,StepPlanning,0.04398,0.00075,0.03066,0.0002,0.08722,0.01119,1.0,0.0,1.0,0.0
box,ZeroShot,0.06937,0.0201,0.15227,0.09717,0.35431,0.21384,0.57509,0.34456,0.58512,0.33532
box,askBack,0.04389,0.0008,0.03065,0.00041,0.08365,0.00562,1.0,0.0,1.0,0.0
box,visualInspection,0.0435,0.00079,0.03036,0.00041,0.08486,0.01068,1.0,0.0,1.0,0.0
right_angle,StepPlanning,0.06021,0.02333,0.08781,0.07765,0.30378,0.28815,0.774,0.28995,0.85058,0.22808
right_angle,ZeroShot,0.05132,0.01401,0.04235,0.02893,0.14984,0.10378,0.80988,0.23546,0.88253,0.16216
right_angle,askBack,0.05703,0.02214,0.05631,0.04685,0.18625,0.16496,0.80137,0.28798,0.86838,0.22156
right_angle,visualInspection,0.04915,0.0113,0.05007,0.06405,0.12862,0.10667,0.89485,0.1946,0.93089,0.1675
toycar_new,StepPlanning,0.03865,0.00269,0.02565,0.00202,0.09749,0.01929,0.97119,0.02311,0.98763,0.00941
toycar_new,ZeroShot,0.04383,0.01266,0.04181,0.0551,0.1317,0.11626,0.91754,0.25154,0.92557,0.25322
toycar_new,askBack,0.03971,0.00307,0.02644,0.00209,0.10746,0.0237,0.97219,0.02186,0.98546,0.00935
toycar_new,visualInspection,0.03981,0.00712,0.02642,0.00492,0.0961,0.02329,0.97633,0.02021,0.98838,0.00912
u_profile,StepPlanning,0.01865,0.00079,0.01127,0.00034,0.03498,0.00951,0.97361,0.03347,1.0,0.0
u_profile,ZeroShot,0.02754,0.01023,0.01545,0.00408,0.05812,0.0226,0.73652,0.24699,0.83809,0.23762
u_profile,askBack,0.02117,0.00779,0.0124,0.00291,0.04122,0.01886,0.90587,0.19207,0.95476,0.17521
u_profile,visualInspection,0.01841,0.00077,0.01123,0.0003,0.03179,0.00208,0.99111,0.02346,1.0,0.0
