Object Name,TestPrompt Nr,CLGD,Chamfer Distance,Hausdorff Distance,ICP Threshold,IoU,IoGT,Timestamp
box,42,0.029350658878684044,0.026440728455781937,0.05697089806199074,0.996,0.8788216022326735,0.9355028417103407,2025-05-06 12:10:22
box,43,0.028479119762778282,0.0262219849973917,0.05288991332054138,0.998,0.8794594100017383,0.9358641431686417,2025-05-06 12:11:03
box,43,0.028674663975834846,0.026426618918776512,0.059598684310913086,0.999,0.9487166807362639,0.973683473177204,2025-05-06 12:11:43
u_profile,43,0.063004270195961,0.0909339040517807,0.39228156208992004,0.261,0.06340428903952755,0.4354383260123218,2025-05-06 12:12:42
u_profile,44,0.019991559907794,0.014271935448050499,0.06747955828905106,0.919,0.5625934509232409,0.8743786736256733,2025-05-06 12:13:23
u_profile,44,0.0195475947111845,0.01438824087381363,0.06910001486539841,0.917,0.6249039269325096,0.933977570056321,2025-05-06 12:14:04
u_profile,44,0.01982014812529087,0.014356758445501328,0.06773652881383896,0.913,0.523174970756458,0.8341574709722784,2025-05-06 12:14:59
u_profile,45,0.030455460771918297,0.01997534930706024,0.06981444358825684,0.901,0.35463193836732243,0.5410370077536181,2025-05-06 12:15:39
box,48,0.02924315072596073,0.02648761123418808,0.05567126348614693,0.998,0.9659536227197502,0.9826819477170095,2025-05-06 13:42:52
box,48,0.029644586145877838,0.025610553100705147,0.05436272546648979,0.998,0.8627561806639779,0.926322177385145,2025-05-06 13:43:40
u_profile,49,0.032128751277923584,0.02059488371014595,0.06944338977336884,0.89,0.3266989517275731,0.49249899701260347,2025-05-06 13:45:53
u_profile,49,0.031148701906204224,0.020363986492156982,0.07221221923828125,0.89,0.33446412944474524,0.5012710814536763,2025-05-06 13:46:41
u_profile,50,0.0326794870197773,0.02151446044445038,0.06915872544050217,0.87,0.30946847870872995,0.48054047923276383,2025-05-06 13:47:45
u_profile,50,0.03342766314744949,0.021964915096759796,0.07071054726839066,0.867,0.3238129232167098,0.4973660786292611,2025-05-06 13:48:36
,50,0.028970759361982346,0.026623457670211792,0.05281146988272667,0.997,test,test,2025-05-06 17:50:32
,50,0.02932855300605297,0.026623457670211792,0.05281146988272667,0.997,test,test,2025-05-06 17:51:13
,50,0.02919647842645645,0.026623457670211792,0.05281146988272667,0.997,test,test,2025-05-06 17:53:36
,50,0.029186712577939034,0.026623457670211792,0.05281146988272667,0.997,test,test,2025-05-06 17:53:40
box,50,0.02929125912487507,0.026623457670211792,0.05281146988272667,0.997,test,test,2025-05-06 17:54:01
u_profile,50,0.012979397550225258,0.009842786937952042,0.03739859163761139,1.0,test,test,2025-05-06 17:55:24
u_profile,50,0.012403315864503384,0.00979466363787651,0.0353340208530426,1.0,test,test,2025-05-06 17:56:04
u_profile,50,0.020053211599588394,0.014408073388040066,0.06979241222143173,0.922,test,test,2025-05-06 17:56:56
u_profile,50,0.01939624920487404,0.014274153858423233,0.06722944974899292,0.917,test,test,2025-05-06 17:57:35
,50,0.01950187422335148,0.014265721663832664,0.06750621646642685,0.917,test,test,2025-05-06 18:22:13
,50,0.019369026646018028,0.0142711466178298,0.06747704744338989,0.917,test,test,2025-05-06 18:24:58
,50,0.019993631169199944,0.014392431825399399,0.0668308213353157,0.919,test,test,2025-05-06 18:26:31
,50,0.01955796219408512,0.014274871908128262,0.06722266227006912,0.917,test,test,2025-05-06 18:27:14
,50,0.019516630098223686,0.014271045103669167,0.06761885434389114,0.918,test,test,2025-05-06 18:28:01


,50,0.0,0.0,0.0,,test,test,2025-05-13 16:47:41
,50,0.0,0.0,0.0,,test,test,2025-05-13 19:02:40
,50,0.0,0.0,0.0,,test,test,2025-05-14 10:03:52
,50,0.0,0.0,0.0,,test,test,2025-05-14 11:06:50
